deal_id,account,segment,region,product,industry,deal_size_usd,sales_cycle_days,rep,competitor,discount_pct,num_stakeholders,champion_strength,outcome,primary_reason,notes
D1013,Account 013,Enterprise,Central,Resident Screening,Conventional Multifamily,462000,33,C. Diaz,Yardi,10,2,Medium,Lost,Implementation / risk concerns,Reference checks raised onboarding concerns.
D1014,Account 014,SMB,Northeast,AI Revenue Management,Single-Family Rental,54000,49,D. Patel,AppFolio,20,3,High,Won,Strong ROI / revenue lift,AI revenue management pilot showed a clear rent-optimization lift; CFO championed it.
D1015,Account 015,Mid-Market,Central,Property Management Platform,Single-Family Rental,75000,74,D. Patel,ResMan,5,3,High,Won,Strong ROI / revenue lift,Quantified NOI improvement won over the executive sponsor.
D1016,Account 016,SMB,Southeast,Property Management Platform,Student Housing,33000,48,D. Patel,Yardi,30,1,Medium,Lost,Missing feature / product gap,Prospect required an open API for their data warehouse that is still on our roadmap.
D1017,Account 017,Enterprise,Central,Leasing & Marketing,Single-Family Rental,271000,133,B. Chen,None,25,3,Low,Lost,Timing / budget frozen,Budget froze after a portfolio acquisition; revisit next fiscal year.
D1018,Account 018,SMB,West,Property Management Platform,Conventional Multifamily,12000,160,B. Chen,Entrata,25,6,Low,Lost,Missing feature / product gap,Prospect required an open API for their data warehouse that is still on our roadmap.
D1019,Account 019,Enterprise,Northeast,Leasing & Marketing,Affordable,462000,132,B. Chen,None,0,2,Medium,Won,Superior support / implementation,Our implementation plan de-risked the migration and beat the competitor's.
D1020,Account 020,SMB,West,Leasing & Marketing,Conventional Multifamily,24000,142,E. Novak,MRI Software,5,1,Medium,Won,Trusted relationship / references,Strong peer references in their region sealed it.
D1021,Account 021,Enterprise,Northeast,Leasing & Marketing,Conventional Multifamily,173000,181,F. Okafor,Entrata,30,3,Low,Lost,Price too high,Lost on total cost of ownership once implementation fees were added.
D1022,Account 022,SMB,Northeast,Resident Screening,Single-Family Rental,35000,77,A. Morgan,Yardi,10,4,Low,Lost,Price too high,Buyer said our list price was 20% above the competing bid and finance would not approve.
D1023,Account 023,Mid-Market,West,Leasing & Marketing,Single-Family Rental,160000,138,A. Morgan,None,10,2,Medium,Lost,Timing / budget frozen,Budget froze after a portfolio acquisition; revisit next fiscal year.
D1024,Account 024,Mid-Market,Northeast,Resident Screening,Conventional Multifamily,71000,103,B. Chen,MRI Software,5,1,Low,Won,Superior support / implementation,Our implementation plan de-risked the migration and beat the competitor's.
D1025,Account 025,Enterprise,Southeast,Property Management Platform,Affordable,562000,31,F. Okafor,None,5,4,High,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1026,Account 026,Mid-Market,Central,Resident Screening,Affordable,124000,142,B. Chen,None,10,3,High,Won,Trusted relationship / references,Strong peer references in their region sealed it.
D1027,Account 027,Mid-Market,Central,AI Revenue Management,Affordable,44000,32,E. Novak,Entrata,30,4,Medium,Lost,Lost to competitor incumbent,Switching cost fears; incumbent offered a multi-year lock-in discount.
D1028,Account 028,Mid-Market,West,Property Management Platform,Affordable,40000,172,F. Okafor,AppFolio,5,4,High,Lost,Timing / budget frozen,No urgency; they chose to defer the decision six months.
D1029,Account 029,SMB,Northeast,AI Revenue Management,Affordable,54000,135,F. Okafor,None,10,4,Medium,Lost,Timing / budget frozen,Prospect paused all software spend pending a reorg.
D1030,Account 030,SMB,Southeast,Property Management Platform,Single-Family Rental,19000,57,F. Okafor,Entrata,10,6,Medium,Won,Trusted relationship / references,Existing partnership on another product built the trust to expand.
D1031,Account 031,SMB,Southeast,Leasing & Marketing,Affordable,21000,173,D. Patel,None,10,4,Medium,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1032,Account 032,Mid-Market,Central,Resident Screening,Student Housing,45000,85,B. Chen,AppFolio,15,2,Medium,Lost,Timing / budget frozen,Budget froze after a portfolio acquisition; revisit next fiscal year.
D1033,Account 033,Mid-Market,Central,Payments & Billing,Student Housing,40000,151,F. Okafor,AppFolio,10,4,Medium,Lost,Price too high,Deal stalled on pricing; procurement pushed hard for a discount we could not meet.
D1034,Account 034,Enterprise,West,Leasing & Marketing,Student Housing,188000,37,D. Patel,Yardi,30,5,High,Lost,Timing / budget frozen,No urgency; they chose to defer the decision six months.
D1035,Account 035,Mid-Market,Southeast,Payments & Billing,Student Housing,136000,165,D. Patel,None,30,4,High,Lost,Lost to competitor incumbent,Switching cost fears; incumbent offered a multi-year lock-in discount.
D1036,Account 036,Mid-Market,Northeast,Resident Screening,Affordable,57000,85,E. Novak,MRI Software,5,3,Low,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1037,Account 037,Enterprise,Southeast,Property Management Platform,Single-Family Rental,476000,40,E. Novak,AppFolio,25,4,Medium,Lost,Weak champion / no executive sponsor,Our champion left mid-cycle and the new stakeholder restarted evaluation.
D1038,Account 038,Mid-Market,Southeast,Leasing & Marketing,Student Housing,95000,164,B. Chen,Entrata,20,6,Medium,Won,Trusted relationship / references,Existing partnership on another product built the trust to expand.
D1039,Account 039,SMB,West,Payments & Billing,Conventional Multifamily,37000,31,F. Okafor,Yardi,5,6,Medium,Won,Trusted relationship / references,Existing partnership on another product built the trust to expand.
D1040,Account 040,Mid-Market,Southeast,Resident Screening,Conventional Multifamily,109000,132,A. Morgan,Yardi,20,3,Medium,Lost,Lost to competitor incumbent,Incumbent Yardi bundled the module for free to retain the account.
D1041,Account 041,SMB,Central,Property Management Platform,Conventional Multifamily,50000,88,B. Chen,Yardi,0,1,High,Won,Product fit / platform consolidation,Native screening + payments integration was the deciding factor.
D1042,Account 042,SMB,Northeast,AI Revenue Management,Conventional Multifamily,32000,104,E. Novak,Entrata,5,2,Medium,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1043,Account 043,SMB,Northeast,AI Revenue Management,Conventional Multifamily,31000,178,E. Novak,ResMan,5,3,Medium,Won,Trusted relationship / references,Strong peer references in their region sealed it.
D1044,Account 044,Mid-Market,Northeast,Payments & Billing,Student Housing,157000,64,E. Novak,None,15,5,Low,Lost,Weak champion / no executive sponsor,Single-threaded deal; economic buyer never engaged.
D1045,Account 045,SMB,Southeast,Payments & Billing,Student Housing,32000,96,E. Novak,MRI Software,10,2,Medium,Won,Superior support / implementation,Dedicated onboarding team was the differentiator.
D1046,Account 046,Enterprise,West,Leasing & Marketing,Affordable,217000,96,E. Novak,AppFolio,10,4,Medium,Lost,Weak champion / no executive sponsor,Champion liked us but could not get budget prioritized.
D1047,Account 047,Enterprise,Central,AI Revenue Management,Affordable,474000,29,D. Patel,ResMan,25,5,Medium,Lost,Lost to competitor incumbent,They were already standardized on the competitor across the portfolio.
D1048,Account 048,SMB,Northeast,Payments & Billing,Affordable,54000,115,C. Diaz,AppFolio,30,4,Medium,Won,Strong ROI / revenue lift,AI revenue management pilot showed a clear rent-optimization lift; CFO championed it.
D1049,Account 049,Enterprise,Central,Property Management Platform,Affordable,211000,50,C. Diaz,Yardi,30,3,Medium,Lost,Missing feature / product gap,Prospect required an open API for their data warehouse that is still on our roadmap.
D1050,Account 050,Enterprise,Southeast,AI Revenue Management,Affordable,345000,51,D. Patel,None,5,5,Medium,Lost,Lost to competitor incumbent,They were already standardized on the competitor across the portfolio.
D1051,Account 051,Enterprise,West,Property Management Platform,Affordable,180000,63,B. Chen,None,5,1,Medium,Won,Product fit / platform consolidation,Native screening + payments integration was the deciding factor.
D1052,Account 052,Mid-Market,West,Leasing & Marketing,Conventional Multifamily,67000,170,B. Chen,None,20,3,Low,Lost,Missing feature / product gap,They needed native affordable-housing compliance reporting we could not commit to this quarter.
D1053,Account 053,Enterprise,West,Payments & Billing,Affordable,267000,177,B. Chen,AppFolio,20,5,Low,Lost,Weak champion / no executive sponsor,Our champion left mid-cycle and the new stakeholder restarted evaluation.
D1054,Account 054,SMB,Central,Leasing & Marketing,Student Housing,12000,54,C. Diaz,Entrata,10,4,Low,Won,Trusted relationship / references,Existing partnership on another product built the trust to expand.
D1055,Account 055,Mid-Market,Southeast,Leasing & Marketing,Single-Family Rental,45000,153,A. Morgan,Yardi,20,3,Medium,Lost,Timing / budget frozen,Prospect paused all software spend pending a reorg.
D1056,Account 056,Enterprise,Southeast,AI Revenue Management,Student Housing,453000,172,E. Novak,Yardi,0,3,High,Won,Superior support / implementation,Dedicated onboarding team was the differentiator.
D1057,Account 057,Enterprise,Southeast,Resident Screening,Single-Family Rental,459000,66,C. Diaz,AppFolio,15,2,Medium,Lost,Timing / budget frozen,Budget froze after a portfolio acquisition; revisit next fiscal year.
D1058,Account 058,Mid-Market,Southeast,AI Revenue Management,Single-Family Rental,106000,156,A. Morgan,Yardi,5,4,Low,Lost,Weak champion / no executive sponsor,Champion liked us but could not get budget prioritized.
D1059,Account 059,Mid-Market,West,Payments & Billing,Single-Family Rental,117000,98,A. Morgan,ResMan,30,2,Low,Lost,Missing feature / product gap,Prospect required an open API for their data warehouse that is still on our roadmap.
D1060,Account 060,SMB,Southeast,AI Revenue Management,Student Housing,53000,143,F. Okafor,Yardi,10,2,Medium,Won,Superior support / implementation,Dedicated onboarding team was the differentiator.
D1061,Account 061,Enterprise,Southeast,AI Revenue Management,Affordable,598000,59,C. Diaz,AppFolio,10,6,Low,Won,Strong ROI / revenue lift,Quantified NOI improvement won over the executive sponsor.
D1062,Account 062,SMB,Northeast,Leasing & Marketing,Single-Family Rental,42000,139,C. Diaz,Entrata,25,2,Medium,Lost,Lost to competitor incumbent,Incumbent Yardi bundled the module for free to retain the account.
D1063,Account 063,SMB,Southeast,Payments & Billing,Single-Family Rental,49000,106,F. Okafor,Entrata,20,1,Medium,Lost,Weak champion / no executive sponsor,Our champion left mid-cycle and the new stakeholder restarted evaluation.
D1064,Account 064,Enterprise,West,Leasing & Marketing,Single-Family Rental,193000,50,F. Okafor,AppFolio,5,5,Medium,Lost,Price too high,Deal stalled on pricing; procurement pushed hard for a discount we could not meet.
D1065,Account 065,Mid-Market,Southeast,Payments & Billing,Affordable,119000,161,E. Novak,Entrata,5,4,Medium,Won,Trusted relationship / references,Strong peer references in their region sealed it.
D1066,Account 066,SMB,West,Resident Screening,Conventional Multifamily,26000,67,C. Diaz,Yardi,5,5,High,Won,Superior support / implementation,Our implementation plan de-risked the migration and beat the competitor's.
D1067,Account 067,Enterprise,Central,AI Revenue Management,Single-Family Rental,587000,69,D. Patel,AppFolio,5,2,Medium,Won,Trusted relationship / references,Existing partnership on another product built the trust to expand.
D1068,Account 068,Mid-Market,Southeast,Property Management Platform,Conventional Multifamily,78000,164,C. Diaz,ResMan,25,3,High,Lost,Implementation / risk concerns,IT flagged integration effort as too high for the timeline.
D1069,Account 069,Mid-Market,Northeast,Property Management Platform,Single-Family Rental,129000,52,E. Novak,None,20,5,Low,Won,Superior support / implementation,Dedicated onboarding team was the differentiator.
D1070,Account 070,Enterprise,Central,Property Management Platform,Affordable,217000,98,F. Okafor,MRI Software,0,5,Medium,Lost,Implementation / risk concerns,Reference checks raised onboarding concerns.
D1071,Account 071,SMB,Central,AI Revenue Management,Affordable,28000,137,A. Morgan,None,0,3,Medium,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1072,Account 072,Enterprise,Northeast,Resident Screening,Student Housing,532000,153,D. Patel,None,15,6,High,Lost,Price too high,Deal stalled on pricing; procurement pushed hard for a discount we could not meet.
D1073,Account 073,Enterprise,West,AI Revenue Management,Single-Family Rental,394000,118,C. Diaz,Yardi,20,6,High,Won,Trusted relationship / references,Existing partnership on another product built the trust to expand.
D1074,Account 074,SMB,Central,Leasing & Marketing,Affordable,60000,31,F. Okafor,None,10,5,Low,Won,Trusted relationship / references,Existing partnership on another product built the trust to expand.
D1075,Account 075,Enterprise,Central,AI Revenue Management,Student Housing,352000,54,D. Patel,Yardi,10,5,High,Lost,Implementation / risk concerns,Reference checks raised onboarding concerns.
D1076,Account 076,Mid-Market,Northeast,Leasing & Marketing,Single-Family Rental,87000,150,A. Morgan,MRI Software,20,2,Medium,Lost,Missing feature / product gap,Prospect required an open API for their data warehouse that is still on our roadmap.
D1077,Account 077,Enterprise,West,Resident Screening,Student Housing,166000,126,D. Patel,None,15,1,Medium,Lost,Timing / budget frozen,Budget froze after a portfolio acquisition; revisit next fiscal year.
D1078,Account 078,Enterprise,Central,Leasing & Marketing,Student Housing,288000,42,B. Chen,None,5,3,Low,Lost,Timing / budget frozen,Budget froze after a portfolio acquisition; revisit next fiscal year.
D1079,Account 079,Mid-Market,West,Property Management Platform,Conventional Multifamily,85000,89,B. Chen,None,5,6,Low,Lost,Timing / budget frozen,Prospect paused all software spend pending a reorg.
D1080,Account 080,Enterprise,Southeast,AI Revenue Management,Single-Family Rental,382000,54,C. Diaz,Yardi,20,6,Low,Lost,Missing feature / product gap,Competitor demoed automated renewals; our workflow still needs manual steps.
D1081,Account 081,Enterprise,Southeast,AI Revenue Management,Conventional Multifamily,338000,142,D. Patel,ResMan,30,3,High,Lost,Weak champion / no executive sponsor,Our champion left mid-cycle and the new stakeholder restarted evaluation.
D1082,Account 082,Enterprise,Southeast,Leasing & Marketing,Affordable,391000,184,E. Novak,Entrata,5,3,Low,Lost,Weak champion / no executive sponsor,Our champion left mid-cycle and the new stakeholder restarted evaluation.
D1083,Account 083,SMB,Southeast,Payments & Billing,Student Housing,33000,135,C. Diaz,Yardi,30,3,Medium,Lost,Price too high,Deal stalled on pricing; procurement pushed hard for a discount we could not meet.
D1084,Account 084,Mid-Market,West,AI Revenue Management,Conventional Multifamily,135000,42,D. Patel,Entrata,5,5,Low,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1085,Account 085,SMB,Northeast,Payments & Billing,Conventional Multifamily,14000,115,E. Novak,None,5,4,Medium,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1086,Account 086,SMB,Central,AI Revenue Management,Affordable,57000,119,D. Patel,AppFolio,15,6,High,Won,Strong ROI / revenue lift,Quantified NOI improvement won over the executive sponsor.
D1087,Account 087,Enterprise,Central,AI Revenue Management,Student Housing,456000,114,E. Novak,Yardi,10,4,Medium,Won,Strong ROI / revenue lift,AI revenue management pilot showed a clear rent-optimization lift; CFO championed it.
D1088,Account 088,SMB,Northeast,Resident Screening,Affordable,11000,65,E. Novak,AppFolio,25,4,Medium,Won,Strong ROI / revenue lift,AI revenue management pilot showed a clear rent-optimization lift; CFO championed it.
D1089,Account 089,Mid-Market,Northeast,Property Management Platform,Conventional Multifamily,76000,94,D. Patel,AppFolio,25,4,Medium,Lost,Weak champion / no executive sponsor,Champion liked us but could not get budget prioritized.
D1090,Account 090,SMB,Central,Resident Screening,Student Housing,15000,77,C. Diaz,Entrata,0,1,Low,Won,Superior support / implementation,Our implementation plan de-risked the migration and beat the competitor's.
D1091,Account 091,Enterprise,West,AI Revenue Management,Single-Family Rental,129000,115,D. Patel,Entrata,30,6,Medium,Lost,Timing / budget frozen,Prospect paused all software spend pending a reorg.
D1092,Account 092,SMB,Central,AI Revenue Management,Affordable,52000,128,E. Novak,Entrata,10,2,Medium,Lost,Price too high,Deal stalled on pricing; procurement pushed hard for a discount we could not meet.
D1093,Account 093,Enterprise,Central,Resident Screening,Affordable,518000,126,C. Diaz,Entrata,30,2,Medium,Lost,Price too high,Lost on total cost of ownership once implementation fees were added.
D1094,Account 094,SMB,Northeast,AI Revenue Management,Student Housing,17000,85,B. Chen,Yardi,15,2,High,Lost,Implementation / risk concerns,Worried about migration risk from their legacy system during peak leasing season.
D1095,Account 095,Enterprise,Northeast,Leasing & Marketing,Affordable,345000,169,B. Chen,None,25,5,Medium,Won,Trusted relationship / references,Existing partnership on another product built the trust to expand.
D1096,Account 096,SMB,Northeast,AI Revenue Management,Conventional Multifamily,13000,140,C. Diaz,Yardi,10,5,Medium,Lost,Timing / budget frozen,Prospect paused all software spend pending a reorg.
D1097,Account 097,Mid-Market,Southeast,Property Management Platform,Affordable,47000,171,E. Novak,MRI Software,0,5,High,Won,Trusted relationship / references,Strong peer references in their region sealed it.
D1098,Account 098,SMB,Northeast,Leasing & Marketing,Student Housing,32000,159,C. Diaz,MRI Software,25,5,Low,Lost,Lost to competitor incumbent,Switching cost fears; incumbent offered a multi-year lock-in discount.
D1099,Account 099,SMB,Northeast,AI Revenue Management,Single-Family Rental,50000,109,C. Diaz,Yardi,15,2,Medium,Lost,Timing / budget frozen,Budget froze after a portfolio acquisition; revisit next fiscal year.
D1100,Account 100,Mid-Market,Northeast,Property Management Platform,Conventional Multifamily,122000,125,E. Novak,Yardi,15,3,Medium,Lost,Missing feature / product gap,Competitor demoed automated renewals; our workflow still needs manual steps.
D1101,Account 101,SMB,West,Payments & Billing,Affordable,21000,190,C. Diaz,None,30,2,Medium,Won,Superior support / implementation,Our implementation plan de-risked the migration and beat the competitor's.
D1102,Account 102,Enterprise,Northeast,Leasing & Marketing,Conventional Multifamily,187000,154,E. Novak,None,10,2,Low,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1103,Account 103,SMB,Central,Resident Screening,Single-Family Rental,59000,181,E. Novak,AppFolio,10,5,Medium,Lost,Missing feature / product gap,Prospect required an open API for their data warehouse that is still on our roadmap.
D1104,Account 104,SMB,Central,Leasing & Marketing,Single-Family Rental,16000,122,B. Chen,None,25,3,High,Lost,Price too high,Lost on total cost of ownership once implementation fees were added.
D1105,Account 105,Mid-Market,Central,Resident Screening,Conventional Multifamily,155000,56,C. Diaz,None,5,6,Medium,Won,Superior support / implementation,Our implementation plan de-risked the migration and beat the competitor's.
D1106,Account 106,Enterprise,Central,Payments & Billing,Affordable,161000,38,D. Patel,None,0,4,High,Won,Strong ROI / revenue lift,Quantified NOI improvement won over the executive sponsor.
D1107,Account 107,Enterprise,West,Payments & Billing,Conventional Multifamily,251000,145,A. Morgan,Yardi,25,2,Low,Lost,Implementation / risk concerns,Reference checks raised onboarding concerns.
D1108,Account 108,SMB,Southeast,AI Revenue Management,Student Housing,37000,56,F. Okafor,AppFolio,10,3,High,Won,Superior support / implementation,Our implementation plan de-risked the migration and beat the competitor's.
D1109,Account 109,SMB,Central,AI Revenue Management,Affordable,50000,134,E. Novak,AppFolio,5,3,Low,Lost,Timing / budget frozen,Prospect paused all software spend pending a reorg.
D1110,Account 110,Enterprise,West,Payments & Billing,Single-Family Rental,318000,30,F. Okafor,None,30,6,Medium,Lost,Lost to competitor incumbent,Incumbent Yardi bundled the module for free to retain the account.
D1111,Account 111,Mid-Market,Northeast,AI Revenue Management,Affordable,146000,59,F. Okafor,Entrata,5,4,Medium,Lost,Implementation / risk concerns,IT flagged integration effort as too high for the timeline.
D1112,Account 112,SMB,Central,Property Management Platform,Conventional Multifamily,27000,100,A. Morgan,Yardi,25,1,Low,Lost,Timing / budget frozen,Prospect paused all software spend pending a reorg.
D1113,Account 113,Mid-Market,West,Resident Screening,Affordable,153000,37,C. Diaz,Yardi,10,4,Medium,Lost,Weak champion / no executive sponsor,Single-threaded deal; economic buyer never engaged.
D1114,Account 114,Enterprise,Southeast,Payments & Billing,Conventional Multifamily,541000,46,E. Novak,AppFolio,30,3,Medium,Lost,Price too high,Buyer said our list price was 20% above the competing bid and finance would not approve.
D1115,Account 115,Mid-Market,West,Resident Screening,Single-Family Rental,156000,138,F. Okafor,MRI Software,20,2,Medium,Lost,Weak champion / no executive sponsor,Single-threaded deal; economic buyer never engaged.
D1116,Account 116,SMB,West,Leasing & Marketing,Student Housing,51000,118,B. Chen,None,5,4,High,Won,Strong ROI / revenue lift,AI revenue management pilot showed a clear rent-optimization lift; CFO championed it.
D1117,Account 117,Enterprise,Southeast,AI Revenue Management,Student Housing,310000,170,C. Diaz,Entrata,15,4,Medium,Won,Product fit / platform consolidation,Native screening + payments integration was the deciding factor.
D1118,Account 118,Mid-Market,West,Payments & Billing,Single-Family Rental,73000,72,C. Diaz,Entrata,5,1,Low,Lost,Timing / budget frozen,Prospect paused all software spend pending a reorg.
D1119,Account 119,SMB,Southeast,Payments & Billing,Student Housing,28000,43,A. Morgan,None,5,2,Medium,Won,Strong ROI / revenue lift,Quantified NOI improvement won over the executive sponsor.
D1120,Account 120,Mid-Market,Central,Property Management Platform,Conventional Multifamily,141000,155,B. Chen,None,5,4,Medium,Won,Trusted relationship / references,Existing partnership on another product built the trust to expand.
D1121,Account 121,SMB,Southeast,Payments & Billing,Single-Family Rental,28000,126,E. Novak,Yardi,5,3,High,Lost,Weak champion / no executive sponsor,Single-threaded deal; economic buyer never engaged.
D1122,Account 122,SMB,West,Payments & Billing,Conventional Multifamily,18000,58,E. Novak,AppFolio,30,2,Low,Won,Product fit / platform consolidation,Native screening + payments integration was the deciding factor.
D1123,Account 123,SMB,Central,Leasing & Marketing,Affordable,42000,187,F. Okafor,None,10,3,High,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1124,Account 124,Enterprise,Northeast,AI Revenue Management,Conventional Multifamily,227000,32,F. Okafor,MRI Software,15,1,Medium,Lost,Implementation / risk concerns,Worried about migration risk from their legacy system during peak leasing season.
D1125,Account 125,Mid-Market,Southeast,Payments & Billing,Affordable,47000,87,A. Morgan,None,10,5,Medium,Won,Superior support / implementation,Dedicated onboarding team was the differentiator.
D1126,Account 126,Enterprise,West,Property Management Platform,Affordable,243000,127,C. Diaz,Entrata,15,4,Low,Lost,Missing feature / product gap,They needed native affordable-housing compliance reporting we could not commit to this quarter.
D1127,Account 127,Enterprise,Central,Resident Screening,Affordable,375000,65,B. Chen,Yardi,20,3,High,Lost,Lost to competitor incumbent,They were already standardized on the competitor across the portfolio.
D1128,Account 128,Enterprise,West,Leasing & Marketing,Affordable,264000,80,A. Morgan,Yardi,25,3,Medium,Lost,Implementation / risk concerns,Reference checks raised onboarding concerns.
D1129,Account 129,Mid-Market,Southeast,Resident Screening,Affordable,91000,59,C. Diaz,Entrata,5,4,Low,Lost,Missing feature / product gap,Prospect required an open API for their data warehouse that is still on our roadmap.
D1130,Account 130,SMB,Central,Leasing & Marketing,Conventional Multifamily,58000,96,A. Morgan,Entrata,25,6,Medium,Lost,Timing / budget frozen,Prospect paused all software spend pending a reorg.
D1131,Account 131,Enterprise,Northeast,AI Revenue Management,Student Housing,385000,36,D. Patel,Yardi,30,1,Medium,Lost,Timing / budget frozen,Budget froze after a portfolio acquisition; revisit next fiscal year.
D1132,Account 132,Mid-Market,Northeast,Resident Screening,Single-Family Rental,42000,176,D. Patel,None,20,3,Medium,Won,Strong ROI / revenue lift,Quantified NOI improvement won over the executive sponsor.
D1133,Account 133,SMB,West,Leasing & Marketing,Student Housing,41000,92,E. Novak,Entrata,0,5,High,Won,Superior support / implementation,Our implementation plan de-risked the migration and beat the competitor's.
D1134,Account 134,SMB,Southeast,Payments & Billing,Affordable,21000,29,B. Chen,Entrata,5,3,Medium,Won,Superior support / implementation,Our implementation plan de-risked the migration and beat the competitor's.
D1135,Account 135,SMB,Central,Payments & Billing,Affordable,29000,159,D. Patel,Yardi,15,5,Low,Lost,Implementation / risk concerns,Reference checks raised onboarding concerns.
D1136,Account 136,SMB,Central,Resident Screening,Affordable,53000,88,C. Diaz,MRI Software,25,3,Medium,Won,Superior support / implementation,Dedicated onboarding team was the differentiator.
D1137,Account 137,Mid-Market,Southeast,Leasing & Marketing,Single-Family Rental,142000,56,C. Diaz,Entrata,10,3,High,Won,Trusted relationship / references,Strong peer references in their region sealed it.
D1138,Account 138,Mid-Market,Northeast,Leasing & Marketing,Affordable,118000,76,B. Chen,None,25,3,Medium,Won,Product fit / platform consolidation,They consolidated four point tools onto our platform.
D1139,Account 139,SMB,Southeast,Payments & Billing,Affordable,16000,50,A. Morgan,None,10,1,Low,Won,Product fit / platform consolidation,Native screening + payments integration was the deciding factor.
D1140,Account 140,SMB,West,Resident Screening,Affordable,22000,98,A. Morgan,None,25,3,High,Won,Strong ROI / revenue lift,AI revenue management pilot showed a clear rent-optimization lift; CFO championed it.
D1141,Account 141,Mid-Market,West,Property Management Platform,Affordable,112000,151,A. Morgan,None,0,4,Low,Won,Trusted relationship / references,Existing partnership on another product built the trust to expand.
D1142,Account 142,Mid-Market,Central,Payments & Billing,Affordable,60000,154,A. Morgan,None,25,2,Medium,Won,Trusted relationship / references,Strong peer references in their region sealed it.
D1143,Account 143,Enterprise,Northeast,Payments & Billing,Single-Family Rental,325000,181,A. Morgan,ResMan,10,2,High,Won,Product fit / platform consolidation,Native screening + payments integration was the deciding factor.
D1144,Account 144,Mid-Market,Northeast,Resident Screening,Affordable,113000,139,E. Novak,None,20,3,Low,Won,Trusted relationship / references,Strong peer references in their region sealed it.
D1145,Account 145,Enterprise,Northeast,Resident Screening,Conventional Multifamily,434000,153,C. Diaz,ResMan,5,4,Medium,Lost,Weak champion / no executive sponsor,Our champion left mid-cycle and the new stakeholder restarted evaluation.
D1146,Account 146,Mid-Market,Central,Leasing & Marketing,Student Housing,116000,145,F. Okafor,ResMan,20,6,Medium,Won,Superior support / implementation,Dedicated onboarding team was the differentiator.
D1147,Account 147,Enterprise,Central,Leasing & Marketing,Student Housing,557000,76,C. Diaz,None,30,6,Low,Won,Product fit / platform consolidation,Native screening + payments integration was the deciding factor.
D1148,Account 148,Enterprise,Southeast,Leasing & Marketing,Single-Family Rental,149000,58,E. Novak,None,0,5,Medium,Won,Trusted relationship / references,Strong peer references in their region sealed it.
D1149,Account 149,Mid-Market,West,Payments & Billing,Affordable,159000,36,E. Novak,Entrata,10,2,Low,Lost,Weak champion / no executive sponsor,Our champion left mid-cycle and the new stakeholder restarted evaluation.
